date	bitcoin
2016-12-01	232
2016-12-02	224
2016-12-03	140
2016-12-04	180
2016-12-05	228
2016-12-06	208
2016-12-07	220
2016-12-08	200
2016-12-09	160
2016-12-10	164
2016-12-11	192
2016-12-12	200
2016-12-13	184
2016-12-14	212
2016-12-15	176
2016-12-16	184
2016-12-17	176
2016-12-18	232
2016-12-19	200
2016-12-20	192
2016-12-21	272
2016-12-22	320
2016-12-23	400
2016-12-24	296
2016-12-25	380
2016-12-26	288
2016-12-27	276
2016-12-28	384
2016-12-29	292
2016-12-30	308
2016-12-31	240
2017-01-01	168
2017-01-02	260
2017-01-03	284
2017-01-04	320
2017-01-05	400
2017-01-06	312
2017-01-07	264
2017-01-08	224
2017-01-09	236
2017-01-10	164
2017-01-11	248
2017-01-12	244
2017-01-13	184
2017-01-14	212
2017-01-15	176
2017-01-16	148
2017-01-17	164
2017-01-18	160
2017-01-19	152
2017-01-20	156
2017-01-21	156
2017-01-22	140
2017-01-23	164
2017-01-24	160
2017-01-25	148
2017-01-26	156
2017-01-27	136
2017-01-28	132
2017-01-29	152
2017-01-30	136
2017-01-31	164
2017-02-01	310
2017-02-02	295
2017-02-03	305
2017-02-04	260
2017-02-05	260
2017-02-06	270
2017-02-07	270
2017-02-08	365
2017-02-09	365
2017-02-10	275
2017-02-11	315
2017-02-12	245
2017-02-13	275
2017-02-14	250
2017-02-15	230
2017-02-16	315
2017-02-17	290
2017-02-18	250
2017-02-19	225
2017-02-20	235
2017-02-21	365
2017-02-22	380
2017-02-23	435
2017-02-24	500
2017-02-25	340
2017-02-26	280
2017-02-27	310
2017-02-28	330
2017-03-01	204
2017-03-02	276
2017-03-03	328
2017-03-04	244
2017-03-05	188
2017-03-06	212
2017-03-07	224
2017-03-08	224
2017-03-09	220
2017-03-10	400
2017-03-11	284
2017-03-12	208
2017-03-13	228
2017-03-14	184
2017-03-15	172
2017-03-16	208
2017-03-17	196
2017-03-18	280
2017-03-19	228
2017-03-20	208
2017-03-21	180
2017-03-22	200
2017-03-23	148
2017-03-24	172
2017-03-25	204
2017-03-26	168
2017-03-27	180
2017-03-28	148
2017-03-29	200
2017-03-30	152
2017-03-31	136
2017-04-01	759
2017-04-02	825
2017-04-03	869
2017-04-04	902
2017-04-05	869
2017-04-06	825
2017-04-07	814
2017-04-08	638
2017-04-09	891
2017-04-10	682
2017-04-11	803
2017-04-12	935
2017-04-13	803
2017-04-14	605
2017-04-15	660
2017-04-16	814
2017-04-17	880
2017-04-18	869
2017-04-19	792
2017-04-20	825
2017-04-21	660
2017-04-22	957
2017-04-23	704
2017-04-24	726
2017-04-25	781
2017-04-26	1100
2017-04-27	1034
2017-04-28	990
2017-04-29	847
2017-04-30	979
2017-05-01	231
2017-05-02	242
2017-05-03	231
2017-05-04	341
2017-05-05	286
2017-05-06	264
2017-05-07	253
2017-05-08	264
2017-05-09	396
2017-05-10	341
2017-05-11	396
2017-05-12	396
2017-05-13	374
2017-05-14	308
2017-05-15	440
2017-05-16	341
2017-05-17	363
2017-05-18	319
2017-05-19	440
2017-05-20	429
2017-05-21	407
2017-05-22	792
2017-05-23	759
2017-05-24	825
