date	s&p 500
2019-07-12	1992
2019-07-13	504
2019-07-14	600
2019-07-15	1728
2019-07-16	1728
2019-07-17	1632
2019-07-18	1704
2019-07-19	1680
2019-07-20	744
2019-07-21	504
2019-07-22	1584
2019-07-23	1824
2019-07-24	1752
2019-07-25	1848
2019-07-26	1824
2019-07-27	480
2019-07-28	576
2019-07-29	1632
2019-07-30	1704
2019-07-31	2136
2019-08-01	1260
2019-08-02	1116
2019-08-03	396
2019-08-04	324
2019-08-05	1782
2019-08-06	1782
2019-08-07	1548
2019-08-08	1260
2019-08-09	1152
2019-08-10	414
2019-08-11	288
2019-08-12	1296
2019-08-13	1350
2019-08-14	1746
2019-08-15	1800
2019-08-16	1440
2019-08-17	396
2019-08-18	270
2019-08-19	1206
2019-08-20	1152
2019-08-21	1260
2019-08-22	1152
2019-08-23	1386
2019-08-24	468
2019-08-25	288
2019-08-26	1224
2019-08-27	1296
2019-08-28	1134
2019-08-29	1170
2019-08-30	1080
2019-08-31	324
2019-09-01	460
2019-09-02	820
2019-09-03	1860
2019-09-04	2000
2019-09-05	1860
2019-09-06	1920
2019-09-07	660
2019-09-08	360
2019-09-09	1620
2019-09-10	1760
2019-09-11	1580
2019-09-12	1960
2019-09-13	1780
2019-09-14	540
2019-09-15	400
2019-09-16	1620
2019-09-17	1640
2019-09-18	1820
2019-09-19	1940
2019-09-20	1520
2019-09-21	500
2019-09-22	520
2019-09-23	1380
2019-09-24	1600
2019-09-25	1740
2019-09-26	1820
2019-09-27	1680
2019-09-28	500
2019-09-29	380
2019-09-30	1680
2019-10-01	1332
2019-10-02	1800
2019-10-03	1656
2019-10-04	1224
2019-10-05	432
2019-10-06	324
2019-10-07	1242
2019-10-08	1224
2019-10-09	1314
2019-10-10	1278
2019-10-11	1512
2019-10-12	432
2019-10-13	324
2019-10-14	1116
2019-10-15	1242
2019-10-16	1242
2019-10-17	1152
2019-10-18	1098
2019-10-19	450
2019-10-20	306
2019-10-21	1044
2019-10-22	1458
2019-10-23	1296
2019-10-24	1188
2019-10-25	1422
2019-10-26	504
2019-10-27	342
2019-10-28	1494
2019-10-29	1584
2019-10-30	1224
2019-10-31	1368
2019-11-01	1843
2019-11-02	627
2019-11-03	475
